tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
102828,sainsburys,False,Fri Dec 01 12:12:42 +0000 2017,"@138613 Oh that's good, you know where we are if you need us again. Hope you have a good day. Faiza.",,102827.0
77119,138613,True,Thu Nov 30 11:38:04 +0000 2017,@133186 @116245 @sainsburys wouldn't deliver our shopping.....,102826,77118.0
102829,sainsburys,False,Thu Nov 30 17:32:51 +0000 2017,@138614 Sorry about this Billy! Using the below link could you please DM us some more information on what happened? I'll look into this. Sam. https://t.co/MdMtnTlX6H,,102830.0
102830,138614,True,Thu Nov 30 17:25:42 +0000 2017,To The #sainsburys Security Guard down #GuildhallWalk last night you disgust me telling a man of for buying a homeless woman a hot drink which he brought from your store it was absolutely freezing last night and it was very nice of the man to buy her a hot drink!! #GoodDeed,102829,
102831,Morrisons,False,Thu Nov 30 17:53:32 +0000 2017,@138615 Hi Leela I've replied to your PM. Thanks - Sonia,,102832.0
102832,138615,True,Thu Nov 30 16:51:50 +0000 2017,@Morrisons can you please get Kirkstall morrisons to stock the Cheese&amp;Onion flavour @138616,102831,
102833,Morrisons,False,Thu Nov 30 17:52:28 +0000 2017,"@138617 Hey, no worries. Hope you get it all sorted. Mark",,102834.0
102834,138617,True,Thu Nov 30 17:41:42 +0000 2017,@Morrisons No problem thanks for helping will do this tomorrow!,102833,102835.0
102835,Morrisons,False,Thu Nov 30 17:41:08 +0000 2017,"@138617 Hi, thanks for the Tweet. I'm really sorry but there is nobody here now who can answer your query. You would need to contact us on 0345 611 5000 after 0800 on Friday and ask to be put through to our Recruitment Team. They will be able to resolve this for you. Thanks Mark","102834,102836",102837.0
102837,138617,True,Thu Nov 30 16:36:49 +0000 2017,@Morrisons ????,102835,102838.0
102838,138617,True,Thu Nov 30 16:16:49 +0000 2017,@Morrisons applying to graduate schemes but they the only one available on the drop down box is retail but then it says it’s closed for 2018? But then it also says apply for one of our other schemes instead? Are all the schemes now shut?,102837,
102839,Morrisons,False,Thu Nov 30 17:48:51 +0000 2017,"@138618 hey Leon, I'm sorry to hear about this. Can you please DM some more details, a copy of your receipt, the time you were there, any names or descriptions of colleagues you spoke with and your More Card/ full address details?  – Justine","102840,102841",102842.0
102840,138618,True,Fri Dec 01 21:15:27 +0000 2017,@Morrisons I have direct messages you no response as of yet???,,102839.0
102841,131532,True,Thu Nov 30 21:55:42 +0000 2017,@Morrisons @138618 Oh a DM and a sorry what a surprise £5? token,,102839.0
102842,138618,True,Thu Nov 30 17:01:36 +0000 2017,"@Morrisons went to your cafe today on foss islands in york. Well it was the far worst experience of your cafe in the last year. The service has gone so far down hill you wouldn’t believe. As for the food, wasn’t fit to serve my dog. Not forks or knives available. Shocking.","102839,102843",
102844,Morrisons,False,Thu Nov 30 17:45:55 +0000 2017,"@138619 Hi Leanne, top question of the day, Which has stumped me !!! I'll ask the Buyer and get back to you. There will be a logical answer I'm sure. Thanks Mark",102845,102846.0
102845,138619,True,Thu Nov 30 17:55:07 +0000 2017,"@Morrisons Okay thanks, can't wait to hear back ☺️",,102844.0
102846,138619,True,Thu Nov 30 17:21:57 +0000 2017,@138620 @129854 @Morrisons I think you're missing the point,"102844,102847",102848.0
102848,138620,True,Thu Nov 30 17:06:24 +0000 2017,@138619 @129854 @Morrisons Buy the mans then ffs.,102846,102849.0
102849,138619,True,Thu Nov 30 16:17:30 +0000 2017,"So in @Morrisons you're expected to pay 22p more for shaving gel if you're a woman, both exactly the same, but different prices, one in the men's section one in the ladies🙃 https://t.co/MTgjVbEENH","102848,102850,102851",
102836,138617,True,Fri Dec 01 15:51:47 +0000 2017,"@Morrisons I did this but it was just an endless loop of being put through to different department, is there any way you could find out?",102852,102835.0
102852,Morrisons,False,Fri Dec 01 16:12:37 +0000 2017,"@138617 Hi, I'm really sorry about this. The contact number I gave you should have got you to the right department? I deal with complaints and refunds on the whole. Is there no contact details on the Website where the Graduate roles are? Mark",102853,102836.0
